"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1918333746287427857","Fri May 02 15:56:20 +0000 2025","1","ga cuman di IKN sih ini hampir di seluruh wilayah kalimantann terutama wilayah yang ada tambang atau oil and gas pasti banyak PSK soalnya marketnya orang yang kerja jauh dari keluarga :(","1918333746287427857","","","in","S.T","0","0","0","https://x.com/nrp_nama/status/1918333746287427857","910062538330562560","nrp_nama"
"1918274280686797003","Fri May 02 12:00:02 +0000 2025","15","19 Juta Lapangan Pekerjaan Untuk Generasi Emas Kita ? Open BO Di IKN Sul ? Wes Mbuh Lah Mending Nonton Persib #PersibDay https://t.co/6Qgx9Hawv7","1918274280686797003","https://pbs.twimg.com/ext_tw_video_thumb/1918274254967324676/pu/img/iBiTpMlCOMl7_eaM.jpg","","in","Palembang, South Sumatra","1","6","8","https://x.com/abdullll85/status/1918274280686797003","1866658491576016896","abdullll85"
"1918082823640187388","Fri May 02 11:56:04 +0000 2025","4","@geloraco Teladan apa???11 Trillyun dikantong saya 6000 unit mobil esemka sdh dipesan ikn sdh banjir investor finalis occrp???","1918273281389674850","","geloraco","in","","0","0","0","https://x.com/ftriningsih_/status/1918273281389674850","1843984478592704514","ftriningsih_"
"1918272683042849229","Fri May 02 11:53:42 +0000 2025","10","Akhirnya mereka sadar ketidakgunaan kereta tanpa rel era Jokowi di IKN. Semoga bisa sadar untuk hal lain https://t.co/k7D6vv9KjL","1918272683042849229","https://pbs.twimg.com/media/Gp8SvvFa4AASBWb.jpg","","in","Indonesia","0","1","3","https://x.com/PakarINTELek/status/1918272683042849229","194582998","PakarINTELek"
"1917905804289794236","Fri May 02 11:51:55 +0000 2025","9","@MurtadhaOne1 Paman gw kerja proyek di IKN pulang pulang dia bilang dah nikah tanpa sepengetahuan tante gw sama lonte anak 7 lagi hamil anak ke 8 dan lontenya minta jagain anaknya karna dia sekarat kena tumor","1918272237779689520","","MurtadhaOne1","in","","0","0","0","https://x.com/lalaliliiii137/status/1918272237779689520","1841631437201743872","lalaliliiii137"
"1918271782202819015","Fri May 02 11:50:07 +0000 2025","0","Apes itu norinco... Amsiong https://t.co/bi9clriGrD Kereta otonom tanpa rel di Ibu Kota Nusantara (IKN) atau Autonomous Rail Transit (ART) akan dikembalikan ke China.","1918271782202819015","","","in","Kampong dokoh","0","0","0","https://x.com/Capitalisborju/status/1918271782202819015","1826162869123346432","Capitalisborju"
"1918109489146019925","Fri May 02 11:44:26 +0000 2025","0","@AlnilamOmar Di situ tertulis jelas bahwa customernya adalah para pekerja konstruksi pembangunan IKN","1918270351156642271","","AlnilamOmar","in","5 april 25 ","0","0","0","https://x.com/v4nc1_b0zz/status/1918270351156642271","1649735191823515648","v4nc1_b0zz"
"1918269962030072046","Fri May 02 11:42:53 +0000 2025","1","dikit lagi aven buka kasino di IKN anjir jadi distrik lampu merah tengah hutan trs ntar yg dugem ama judi demitnya https://t.co/8z2sFRx0eF","1918269962030072046","https://pbs.twimg.com/tweet_video_thumb/Gp8QW6rawAESupV.jpg","","in","layout: http://b23.tv/8LGbBOA","0","0","0","https://x.com/gildedcodex/status/1918269962030072046","1879127329903177728","gildedcodex"
"1918269372600336555","Fri May 02 11:40:32 +0000 2025","18","Proyek konstruksi dan munculnya PSK/LC di sekitaran lokasi proyek itu satu paket. Gak cuma di IKN saja tapi hampir semuanya ada. Aku pernah terlibat bangun kilang gas di Aceh aja akhirnya muncul warung remang2 di sekitaran gerbang proyek setelah berapa bulan.","1918269372600336555","","","in","first realm","0","2","9","https://x.com/inganggita/status/1918269372600336555","67848433","inganggita"
"1918109489146019925","Fri May 02 11:34:42 +0000 2025","2","@v4nc1_b0zz Astagfirullah pelanggannya di IKN siapa aja ya","1918267904010973470","","v4nc1_b0zz","in","Seberang Rumah Pak Lurah","0","1","0","https://x.com/AlnilamOmar/status/1918267904010973470","1649686141757722626","AlnilamOmar"
